======================================================================
  FLIP-DISTRIBUTION SWEEP: 300 seeds x 10 coin-flip trials = 3000 games (rust/rayon)
  (seeds 0-299, go-off p>=0.95)
  seed 256  win 100% over 10 flips   median  7.5  (best 5, worst 8)
  seed 257  win 100% over 10 flips   median  7.0  (best 6, worst 8)
  seed 258  win 100% over 10 flips   median  7.0  (best 7, worst 9)
  seed 259  win 100% over 10 flips   median  7.5  (best 6, worst 9)
  seed 260  win 100% over 10 flips   median  8.0  (best 7, worst 10)
  seed 261  win 100% over 10 flips   median  5.0  (best 5, worst 6)
  seed 262  win 100% over 10 flips   median  7.0  (best 6, worst 9)
  seed 263  win 100% over 10 flips   median  7.0  (best 6, worst 9)
  seed 264  win 100% over 10 flips   median  7.0  (best 6, worst 7)
  seed 265  win 100% over 10 flips   median  5.0  (best 4, worst 5)
  seed 266  win 100% over 10 flips   median  6.0  (best 5, worst 7)
  seed 267  win 100% over 10 flips   median  6.0  (best 3, worst 8)
  seed 268  win 100% over 10 flips   median  5.0  (best 5, worst 5)
  seed 269  win 100% over 10 flips   median  5.5  (best 4, worst 9)
  seed 270  win  80% over 10 flips   median  7.0  (best 6, worst 9)
  seed 271  win 100% over 10 flips   median  8.5  (best 8, worst 10)
  seed 272  win 100% over 10 flips   median  7.0  (best 7, worst 7)
  seed 273  win 100% over 10 flips   median  5.5  (best 5, worst 7)
  seed 274  win 100% over 10 flips   median 10.0  (best 8, worst 10)
  seed 275  win 100% over 10 flips   median 11.0  (best 10, worst 13)
  seed 276  win 100% over 10 flips   median  9.0  (best 7, worst 14)
  seed 277  win 100% over 10 flips   median  8.0  (best 7, worst 8)
  seed 278  win 100% over 10 flips   median  7.5  (best 5, worst 9)
  seed 279  win 100% over 10 flips   median 11.0  (best 10, worst 11)
  seed 280  win 100% over 10 flips   median  4.0  (best 3, worst 8)
  seed 281  win 100% over 10 flips   median  5.0  (best 4, worst 6)
  seed 282  win 100% over 10 flips   median  5.0  (best 5, worst 9)
  seed 283  win 100% over 10 flips   median 10.5  (best 8, worst 13)
  seed 284  win  90% over 10 flips   median 10.0  (best 9, worst 14)
  seed 285  win 100% over 10 flips   median 10.0  (best 8, worst 10)
  seed 286  win 100% over 10 flips   median  6.0  (best 5, worst 9)
  seed 287  win  90% over 10 flips   median 11.0  (best 8, worst 12)
  seed 288  win 100% over 10 flips   median  7.5  (best 7, worst 10)
  seed 289  win 100% over 10 flips   median  6.0  (best 6, worst 6)
  seed 290  win 100% over 10 flips   median  3.5  (best 2, worst 6)
  seed 291  win 100% over 10 flips   median  7.0  (best 7, worst 11)
  seed 292  win 100% over 10 flips   median  8.5  (best 6, worst 14)
  seed 293  win 100% over 10 flips   median  3.5  (best 2, worst 5)
  seed 294  win 100% over 10 flips   median 10.0  (best 8, worst 13)
  seed 295  win 100% over 10 flips   median  7.0  (best 6, worst 14)
  seed 296  win 100% over 10 flips   median 10.0  (best 6, worst 11)
  seed 297  win 100% over 10 flips   median  7.0  (best 5, worst 7)
  seed 298  win 100% over 10 flips   median 17.0  (best 16, worst 17)
  seed 299  win 100% over 10 flips   median 10.0  (best 6, worst 11)
  ------------------------------------------------------------------
  mean per-seed P(win) 99.4%   overall 2981/3000 (99%) winning trials
  win-turn over all winning trials: mean 8.04  median 7  best 2  worst 18
  P10 5  P25 6  P50 7  P75 9  P90 12
  233.2s total, 0.078s/game
